Iterasi : 0
Total SSE : 78.94507

Iris-setosa
Centroid,5.883606,2.740984,4.388525,1.434426
5.5,2.40000009536743,3.79999995231628,1.10000002384186,Iris-versicolor
5.5,2.40000009536743,3.70000004768372,1,Iris-versicolor
5.80000019073486,2.70000004768372,3.90000009536743,1.20000004768372,Iris-versicolor
6,2.70000004768372,5.09999990463257,1.60000002384186,Iris-versicolor
5.40000009536743,3,4.5,1.5,Iris-versicolor
6,3.40000009536743,4.5,1.60000002384186,Iris-versicolor
6.69999980926514,3.09999990463257,4.69999980926514,1.5,Iris-versicolor
6.30000019073486,2.29999995231628,4.40000009536743,1.29999995231628,Iris-versicolor
5.59999990463257,3,4.09999990463257,1.29999995231628,Iris-versicolor
5.5,2.5,4,1.29999995231628,Iris-versicolor
5.5,2.59999990463257,4.40000009536743,1.20000004768372,Iris-versicolor
6.09999990463257,3,4.59999990463257,1.39999997615814,Iris-versicolor
5.80000019073486,2.59999990463257,4,1.20000004768372,Iris-versicolor
5,2.29999995231628,3.29999995231628,1,Iris-versicolor
5.59999990463257,2.70000004768372,4.19999980926514,1.29999995231628,Iris-versicolor
5.69999980926514,3,4.19999980926514,1.20000004768372,Iris-versicolor
5.69999980926514,2.90000009536743,4.19999980926514,1.29999995231628,Iris-versicolor
6.19999980926514,2.90000009536743,4.30000019073486,1.29999995231628,Iris-versicolor
5.09999990463257,2.5,3,1.10000002384186,Iris-versicolor
5.69999980926514,2.79999995231628,4.09999990463257,1.29999995231628,Iris-versicolor
5.80000019073486,2.70000004768372,5.09999990463257,1.89999997615814,Iris-virginica
4.90000009536743,2.5,4.5,1.70000004768372,Iris-virginica
5.69999980926514,2.5,5,2,Iris-virginica
5.80000019073486,2.79999995231628,5.09999990463257,2.40000009536743,Iris-virginica
6,2.20000004768372,5,1.5,Iris-virginica
5.59999990463257,2.79999995231628,4.90000009536743,2,Iris-virginica
6.30000019073486,2.70000004768372,4.90000009536743,1.79999995231628,Iris-virginica
6.19999980926514,2.79999995231628,4.80000019073486,1.79999995231628,Iris-virginica
6.09999990463257,3,4.90000009536743,1.79999995231628,Iris-virginica
6.30000019073486,2.79999995231628,5.09999990463257,1.5,Iris-virginica
6,3,4.80000019073486,1.79999995231628,Iris-virginica
5.80000019073486,2.70000004768372,5.09999990463257,1.89999997615814,Iris-virginica
6.30000019073486,2.5,5,1.89999997615814,Iris-virginica
5.90000009536743,3,5.09999990463257,1.79999995231628,Iris-virginica

Iris-versicolor
Centroid,5.006,3.418,1.464,0.244
Total: 50 data
5.09999990463257,3.5,1.39999997615814,0.200000002980232,Iris-setosa
4.90000009536743,3,1.39999997615814,0.200000002980232,Iris-setosa
4.69999980926514,3.20000004768372,1.29999995231628,0.200000002980232,Iris-setosa
4.59999990463257,3.09999990463257,1.5,0.200000002980232,Iris-setosa
5,3.59999990463257,1.39999997615814,0.200000002980232,Iris-setosa
5.40000009536743,3.90000009536743,1.70000004768372,0.400000005960464,Iris-setosa
4.59999990463257,3.40000009536743,1.39999997615814,0.300000011920929,Iris-setosa
5,3.40000009536743,1.5,0.200000002980232,Iris-setosa
4.40000009536743,2.90000009536743,1.39999997615814,0.200000002980232,Iris-setosa
4.90000009536743,3.09999990463257,1.5,0.100000001490116,Iris-setosa
5.40000009536743,3.70000004768372,1.5,0.200000002980232,Iris-setosa
4.80000019073486,3.40000009536743,1.60000002384186,0.200000002980232,Iris-setosa
4.80000019073486,3,1.39999997615814,0.100000001490116,Iris-setosa
4.30000019073486,3,1.10000002384186,0.100000001490116,Iris-setosa
5.80000019073486,4,1.20000004768372,0.200000002980232,Iris-setosa
5.69999980926514,4.40000009536743,1.5,0.400000005960464,Iris-setosa
5.40000009536743,3.90000009536743,1.29999995231628,0.400000005960464,Iris-setosa
5.09999990463257,3.5,1.39999997615814,0.300000011920929,Iris-setosa
5.69999980926514,3.79999995231628,1.70000004768372,0.300000011920929,Iris-setosa
5.09999990463257,3.79999995231628,1.5,0.300000011920929,Iris-setosa
5.40000009536743,3.40000009536743,1.70000004768372,0.200000002980232,Iris-setosa
5.09999990463257,3.70000004768372,1.5,0.400000005960464,Iris-setosa
4.59999990463257,3.59999990463257,1,0.200000002980232,Iris-setosa
5.09999990463257,3.29999995231628,1.70000004768372,0.5,Iris-setosa
4.80000019073486,3.40000009536743,1.89999997615814,0.200000002980232,Iris-setosa
5,3,1.60000002384186,0.200000002980232,Iris-setosa
5,3.40000009536743,1.60000002384186,0.400000005960464,Iris-setosa
5.19999980926514,3.5,1.5,0.200000002980232,Iris-setosa
5.19999980926514,3.40000009536743,1.39999997615814,0.200000002980232,Iris-setosa
4.69999980926514,3.20000004768372,1.60000002384186,0.200000002980232,Iris-setosa
4.80000019073486,3.09999990463257,1.60000002384186,0.200000002980232,Iris-setosa
5.40000009536743,3.40000009536743,1.5,0.400000005960464,Iris-setosa
5.19999980926514,4.09999990463257,1.5,0.100000001490116,Iris-setosa
5.5,4.19999980926514,1.39999997615814,0.200000002980232,Iris-setosa
4.90000009536743,3.09999990463257,1.5,0.100000001490116,Iris-setosa
5,3.20000004768372,1.20000004768372,0.200000002980232,Iris-setosa
5.5,3.5,1.29999995231628,0.200000002980232,Iris-setosa
4.90000009536743,3.09999990463257,1.5,0.100000001490116,Iris-setosa
4.40000009536743,3,1.29999995231628,0.200000002980232,Iris-setosa
5.09999990463257,3.40000009536743,1.5,0.200000002980232,Iris-setosa
5,3.5,1.29999995231628,0.300000011920929,Iris-setosa
4.5,2.29999995231628,1.29999995231628,0.300000011920929,Iris-setosa
4.40000009536743,3.20000004768372,1.29999995231628,0.200000002980232,Iris-setosa
5,3.5,1.60000002384186,0.600000023841858,Iris-setosa
5.09999990463257,3.79999995231628,1.89999997615814,0.400000005960464,Iris-setosa
4.80000019073486,3,1.39999997615814,0.300000011920929,Iris-setosa
5.09999990463257,3.79999995231628,1.60000002384186,0.200000002980232,Iris-setosa
4.59999990463257,3.20000004768372,1.39999997615814,0.200000002980232,Iris-setosa
5.30000019073486,3.70000004768372,1.5,0.200000002980232,Iris-setosa
5,3.29999995231628,1.39999997615814,0.200000002980232,Iris-setosa

Iris-virginica
Centroid,6.853846,3.076923,5.715384,2.053846
Total: 39 data
7,3.20000004768372,4.69999980926514,1.39999997615814,Iris-versicolor
6.90000009536743,3.09999990463257,4.90000009536743,1.5,Iris-versicolor
6.69999980926514,3,5,1.70000004768372,Iris-versicolor
6.30000019073486,3.29999995231628,6,2.5,Iris-virginica
7.09999990463257,3,5.90000009536743,2.09999990463257,Iris-virginica
6.30000019073486,2.90000009536743,5.59999990463257,1.79999995231628,Iris-virginica
6.5,3,5.80000019073486,2.20000004768372,Iris-virginica
7.59999990463257,3,6.59999990463257,2.09999990463257,Iris-virginica
7.30000019073486,2.90000009536743,6.30000019073486,1.79999995231628,Iris-virginica
6.69999980926514,2.5,5.80000019073486,1.79999995231628,Iris-virginica
7.19999980926514,3.59999990463257,6.09999990463257,2.5,Iris-virginica
6.5,3.20000004768372,5.09999990463257,2,Iris-virginica
6.40000009536743,2.70000004768372,5.30000019073486,1.89999997615814,Iris-virginica
6.80000019073486,3,5.5,2.09999990463257,Iris-virginica
6.40000009536743,3.20000004768372,5.30000019073486,2.29999995231628,Iris-virginica
6.5,3,5.5,1.79999995231628,Iris-virginica
7.69999980926514,3.79999995231628,6.69999980926514,2.20000004768372,Iris-virginica
7.69999980926514,2.59999990463257,6.90000009536743,2.29999995231628,Iris-virginica
6.90000009536743,3.20000004768372,5.69999980926514,2.29999995231628,Iris-virginica
7.69999980926514,2.79999995231628,6.69999980926514,2,Iris-virginica
6.69999980926514,3.29999995231628,5.69999980926514,2.09999990463257,Iris-virginica
7.19999980926514,3.20000004768372,6,1.79999995231628,Iris-virginica
6.40000009536743,2.79999995231628,5.59999990463257,2.09999990463257,Iris-virginica
7.19999980926514,3,5.80000019073486,1.60000002384186,Iris-virginica
7.40000009536743,2.79999995231628,6.09999990463257,1.89999997615814,Iris-virginica
7.90000009536743,3.79999995231628,6.40000009536743,2,Iris-virginica
6.40000009536743,2.79999995231628,5.59999990463257,2.20000004768372,Iris-virginica
6.09999990463257,2.59999990463257,5.59999990463257,1.39999997615814,Iris-virginica
7.69999980926514,3,6.09999990463257,2.29999995231628,Iris-virginica
6.30000019073486,3.40000009536743,5.59999990463257,2.40000009536743,Iris-virginica
6.40000009536743,3.09999990463257,5.5,1.79999995231628,Iris-virginica
6.90000009536743,3.09999990463257,5.40000009536743,2.09999990463257,Iris-virginica
6.69999980926514,3.09999990463257,5.59999990463257,2.40000009536743,Iris-virginica
6.90000009536743,3.09999990463257,5.09999990463257,2.29999995231628,Iris-virginica
6.80000019073486,3.20000004768372,5.90000009536743,2.29999995231628,Iris-virginica
6.69999980926514,3.29999995231628,5.69999980926514,2.5,Iris-virginica
6.69999980926514,3,5.19999980926514,2.29999995231628,Iris-virginica
6.5,3,5.19999980926514,2,Iris-virginica
6.19999980926514,3.40000009536743,5.40000009536743,2.29999995231628,Iris-virginica

